customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age
1,Laraine,Medendorp,Female,93,12-10-1953,Executive Secretary,Health,Mass Customer,N,Yes,11,70
2,Eli,Bockman,Male,81,16-12-1980,Administrative Officer,Financial Services,Mass Customer,N,Yes,16,43
3,Arlin,Dearle,Male,61,20-01-1954,Recruiting Manager,Property,Mass Customer,N,Yes,15,70
4,Talbot,None,Male,33,03-10-1961,Missing,IT,Mass Customer,N,No,7,62
5,Sheila-kathryn,Calton,Female,56,13-05-1977,Senior Editor,Missing,Affluent Customer,N,Yes,8,47
6,Curr,Duckhouse,Male,35,16-09-1966,Missing,Retail,High Net Worth,N,Yes,13,57
7,Fina,Merali,Female,6,23-02-1976,Missing,Financial Services,Affluent Customer,N,Yes,11,48
8,Rod,Inder,Male,31,30-03-1962,Media Manager I,Missing,Mass Customer,N,No,7,62
9,Mala,Lind,Female,97,10-03-1973,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8,51
10,Fiorenze,Birdall,Female,49,11-10-1988,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,20,35
11,Uriah,Bisatt,Male,99,30-04-1954,Missing,Property,Mass Customer,N,No,9,70
12,Sawyere,Flattman,Male,58,21-07-1994,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8,29
13,Gabriele,Norcross,Male,38,15-02-1955,Developer I,Financial Services,High Net Worth,N,Yes,8,69
14,Rayshell,Kitteman,Female,85,25-03-1983,Account Executive,Financial Services,Affluent Customer,N,No,6,41
15,Erroll,Radage,Male,91,13-07-2000,Junior Executive,Manufacturing,Mass Customer,N,No,1,23
16,Harlin,Parr,Male,38,27-02-1977,Media Manager IV,Missing,Mass Customer,N,Yes,18,47
17,Heath,Faraday,Male,57,19-03-1962,Sales Associate,Missing,Affluent Customer,N,Yes,15,62
18,Marjie,Neasham,Female,79,06-07-1967,Professor,Missing,Affluent Customer,N,No,11,56
19,Sorcha,Keyson,Female,76,15-04-2001,Geological Engineer,Manufacturing,High Net Worth,N,No,1,23
20,Basile,Firth,Male,72,13-08-1980,Project Manager,Manufacturing,Mass Customer,N,No,11,43
21,Mile,Cammocke,Male,74,20-09-1980,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16,43
22,Deeanne,Durtnell,Female,79,10-12-1962,Missing,IT,Mass Customer,N,No,11,61
23,Olav,Polak,Male,43,10-02-1995,Missing,Missing,High Net Worth,N,Yes,1,29
24,Kim,Skpsey,Female,55,03-12-1977,Research Assistant I,Argiculture,Mass Customer,N,Yes,15,46
25,Geoff,Assaf,Male,72,02-12-1976,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21,47
26,Trixi,Ginnelly,Female,12,10-06-1978,Editor,Financial Services,Mass Customer,N,Yes,16,45
27,Garvin,Klees,Male,37,25-09-1978,Research Nurse,Health,Mass Customer,N,Yes,12,45
28,Fee,Zellmer,Male,5,30-09-1973,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21,50
29,Mona,Sancraft,Female,62,22-06-1968,Safety Technician III,Manufacturing,Mass Customer,N,No,19,55
30,Darrick,Helleckas,Male,18,18-10-1961,Missing,IT,Affluent Customer,N,Yes,6,62
31,Star,Praton,Female,3,24-11-1962,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14,61
32,Marion,Vanichkin,Female,17,20-04-1995,Legal Assistant,Manufacturing,Affluent Customer,N,No,4,29
33,Ernst,Hacon,Male,44,25-06-1957,Product Engineer,Missing,Affluent Customer,N,Yes,11,66
35,Margaretha,Strettle,Female,40,28-09-1963,Information Systems Manager,Health,High Net Worth,N,Yes,16,60
36,Lurette,Stonnell,Female,33,09-11-1977,VP Quality Control,Missing,Affluent Customer,N,No,22,46
37,Laurie,Dwerryhouse,Female,46,22-12-1985,Social Worker,Health,High Net Worth,N,No,16,38
38,Cordi,Merman,Female,37,29-10-1955,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20,68
39,Hunfredo,Smalley,Male,5,16-04-1979,Assistant Media Planner,Entertainment,Mass Customer,N,No,22,45
40,Tomasine,Jerche,Female,91,27-10-1981,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14,42
41,Basilius,Coupe,Male,64,14-04-1976,Food Chemist,Health,Mass Customer,N,No,16,48
42,Chiquita,Durnall,Female,24,28-03-1977,Accountant III,Manufacturing,Mass Customer,N,No,18,47
43,Indira,Belt,Female,38,01-03-1983,Director of Sales,Retail,Mass Customer,N,No,5,41
44,Neron,Verick,Male,63,18-10-1981,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17,42
45,Trace,Woodhead,Male,64,23-09-1975,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8,48
46,Kaila,Allin,Female,98,26-02-1972,Missing,Missing,Affluent Customer,N,Yes,15,52
47,Matthew,Jeaycock,Male,51,22-10-1992,Registered Nurse,Health,Affluent Customer,N,No,2,31
48,Rebbecca,Casone,Female,46,15-08-1975,Biostatistician II,Missing,Mass Customer,N,Yes,8,48
49,Nolly,Ownsworth,Male,63,26-01-1994,VP Quality Control,Missing,Affluent Customer,N,No,1,30
50,Whitby,Schapero,Male,38,01-10-1980,Account Executive,Manufacturing,Mass Customer,N,Yes,16,43
51,Fidelio,Dilke,Male,68,05-12-1959,Computer Systems Analyst II,Retail,Mass Customer,N,No,18,64
52,Curran,Bentson,Male,57,22-06-1988,Missing,Financial Services,Mass Customer,N,Yes,13,35
53,Agnella,Gocke,Female,22,18-04-1954,Software Test Engineer II,Financial Services,Mass Customer,N,No,16,70
54,Loralyn,Wonfor,Female,2,24-07-1966,Sales Associate,Property,Mass Customer,N,Yes,18,57
55,Linc,Jillions,Male,48,24-09-1956,Paralegal,Financial Services,Affluent Customer,N,Yes,7,67
56,Reese,Ensor,Male,44,04-07-1996,VP Sales,Property,Mass Customer,N,Yes,4,27
57,Abba,Masedon,Male,87,13-06-1988,Chief Design Engineer,Missing,Mass Customer,N,Yes,13,35
58,Dalenna,Pinnock,Female,26,04-07-1967,Office Assistant III,Financial Services,Affluent Customer,N,Yes,17,56
59,Niki,Heathcote,Male,60,08-02-2000,Physical Therapy Assistant,Missing,High Net Worth,N,No,3,24
60,Nadiya,Champerlen,Female,18,04-02-1970,Missing,Manufacturing,Mass Customer,N,No,10,54
61,Kacey,Rowbottom,Female,47,29-11-1959,Help Desk Operator,Property,High Net Worth,N,No,13,64
62,Sorcha,Roggers,Female,38,06-07-1979,Missing,IT,Mass Customer,N,Yes,22,44
63,Ebony,Zini,Female,58,03-07-1965,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16,58
64,Gerek,Yve,Male,73,25-03-1978,Legal Assistant,IT,High Net Worth,N,No,4,46
65,Yale,Tanser,Male,21,01-04-1976,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,15,48
66,Anselm,Gawne,Male,46,11-03-2002,Account Executive,Argiculture,High Net Worth,N,No,1,22
67,Vernon,None,Male,67,14-06-1960,Web Developer II,Retail,Mass Customer,N,No,18,63
68,Dahlia,Eddoes,Female,37,21-04-1974,Information Systems Manager,Missing,Affluent Customer,N,No,9,50
69,Heidi,Milner,Female,16,22-06-1969,Web Developer II,Missing,Mass Customer,N,No,6,54
70,Foster,Vannoort,Male,78,27-02-1993,Paralegal,Financial Services,Affluent Customer,N,No,8,31
71,Hoyt,Glavias,Male,30,27-01-1985,Research Associate,Argiculture,Affluent Customer,N,Yes,12,39
72,Sammy,Cheese,Male,93,13-02-1972,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16,52
